,품명,품번,측정시간,측정자,검사형태,검사시간대,종물검사,번호,도형,항목,측정값,기준값,상한공차,하한공차,편차,판정,품질상태
0,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,11,점2 <- 점1의 되부름,X,102.975,102.900,0.100,0.000,0.075,|+++,OK
1,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,11,점2 <- 점1의 되부름,Y,-2.402,-2.400,0.100,-0.100,0.002,|+,OK
2,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,12,직선3 <- 직선2의 되부름,X/Y,-45:07:35,-45:00:00,0:20:00,-0:20:00,0:07:35,|++,OK
3,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,17,점4 <- 직선6와 직선5의 교차점,X,81.748,81.700,0.200,-0.200,0.048,|+,OK
4,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,19,직선8,Y/X,-7:03:08,-7:00:00,0:30:00,-0:30:00,0:03:08,|+,OK
5,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,22,직선11,Y/X,-5:20:45,-5:06:00,1:00:00,-1:00:00,0:14:45,|+,OK
6,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,23,점5 <- 직선11와 직선10의 교차점,X,39.478,39.500,0.200,-0.200,-0.022,-|,OK
7,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,23,점5 <- 직선11와 직선10의 교차점,Y,17.113,17.100,0.100,-0.100,0.013,|+,OK
8,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,25,점6 <- 직선12와 직선11의 교차점,X,46.545,46.500,0.300,-0.300,0.045,|+,OK
9,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,27,점7 <상>,Y,-2.037,-2.000,0.100,-0.100,0.037,|++,OK
10,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,28,점8 <하>,Y,-1.942,-2.000,0.100,-0.100,-0.058,---|,OK
11,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,29,"직선13 <좌,상>",X/Y,-16:03:33,-16:00:00,0:30:00,-0:30:00,0:03:33,|+,OK
12,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,30,"직선14 <우,상>",X/Y,16:10:20,16:00:00,0:30:00,-0:30:00,0:10:20,|++,OK
13,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,31,"직선15 <우,하>",X/Y,15:31:33,16:00:00,0:30:00,-0:30:00,-0:28:27,----|,OK
14,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,32,"직선16 <좌,하>",X/Y,-15:45:32,-16:00:00,0:30:00,-0:30:00,-0:14:28,--|,OK
15,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,36,거리1 <- XYPLAN[평균]:점10와 점9 <상>,DS,9.723,9.700,0.070,-0.070,0.023,|++,OK
16,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,39,거리2 <- XYPLAN[평균]:점12와 점11 <하>,DS,9.676,9.700,0.070,-0.070,-0.024,--|,OK
17,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,40,점13 <- 점9와 점10의 중점 <상>,X,62.896,62.800,0.100,0.000,0.096,|++++,OK
18,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,41,점14 <- 점12와 점11의 중점 <하>,X,62.859,62.800,0.100,0.000,0.059,|+,OK
19,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,43,원2(E) <소재 경>,R,10.540,10.500,0.100,-0.100,0.040,|++,OK
20,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,43,원2(E) <소재 경>,SMmf,5P,0.003,0.006,-0.004,0.010,-,OK
21,6속 PARKING SPRAG,45926-26000,2024.01.18. 02:11:30,양정훈,일상검사,야간,중물,44,원3(I) <상>,X,-0.001,0.000,0.200,-0.200,-0.001,-|,OK
