,품명,품번,측정시간,측정자,검사형태,검사시간대,종물검사,번호,도형,항목,측정값,기준값,상한공차,하한공차,편차,판정,품질상태
0,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,11,점2 <- 점1의 되부름,X,102.936,102.900,0.100,0.000,0.036,--|,1-1-1
1,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,11,점2 <- 점1의 되부름,Y,-2.401,-2.400,0.100,-0.100,0.001,|+,1-1-1
2,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,12,직선3 <- 직선2의 되부름,X/Y,-44:46:43,-45:00:00,0:20:00,-0:20:00,-0:13:17,---|,1-1-1
3,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,17,점4 <- 직선6와 직선5의 교차점,X,81.716,81.700,0.200,-0.200,0.016,|+,1-1-1
4,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,19,직선8,Y/X,-7:17:29,-7:00:00,0:30:00,-0:30:00,0:17:29,|+++,1-1-1
5,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,22,직선11,Y/X,-5:09:01,-5:06:00,1:00:00,-1:00:00,0:03:01,|+,1-1-1
6,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,23,점5 <- 직선11와 직선10의 교차점,X,39.425,39.500,0.200,-0.200,-0.075,--|,1-1-1
7,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,23,점5 <- 직선11와 직선10의 교차점,Y,17.064,17.100,0.100,-0.100,-0.036,--|,1-1-1
8,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,25,점6 <- 직선12와 직선11의 교차점,X,46.502,46.500,0.300,-0.300,0.002,|+,1-1-1
9,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,27,점7 <상>,Y,-2.088,-2.000,0.100,-0.100,0.088,|++++,1-1-1
10,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,28,점8 <하>,Y,-2.043,-2.000,0.100,-0.100,0.043,|++,1-1-1
11,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,29,"직선13 <좌,상>",X/Y,-16:12:03,-16:00:00,0:30:00,-0:30:00,0:12:03,|++,1-1-1
12,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,30,"직선14 <우,상>",X/Y,16:23:59,16:00:00,0:30:00,-0:30:00,0:23:59,|++++,1-1-1
13,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,31,"직선15 <우,하>",X/Y,15:57:46,16:00:00,0:30:00,-0:30:00,-0:02:14,-|,1-1-1
14,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,32,"직선16 <좌,하>",X/Y,-15:49:36,-16:00:00,0:30:00,-0:30:00,-0:10:24,--|,1-1-1
15,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,36,거리1 <- XYPLAN[평균]:점10와 점9 <상>,DS,9.753,9.700,0.070,-0.070,0.053,|++++,1-1-1
16,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,39,거리2 <- XYPLAN[평균]:점12와 점11 <하>,DS,9.723,9.700,0.070,-0.070,0.023,|++,1-1-1
17,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,40,점13 <- 점9와 점10의 중점 <상>,X,62.854,62.800,0.100,0.000,0.054,|+,1-1-1
18,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,41,점14 <- 점12와 점11의 중점 <하>,X,62.826,62.800,0.100,0.000,0.026,--|,1-1-1
19,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,43,원2(E) <소재 경>,R,10.556,10.500,0.100,-0.100,0.056,|+++,1-1-1
20,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,43,원2(E) <소재 경>,SMmf,5P,0.011,0.019,-0.016,0.034,-,1-1-1
21,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,44,원3(I) <상>,X,-0.008,0.000,0.200,-0.200,-0.008,-|,1-1-1
22,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,44,원3(I) <상>,Y,0.011,0.000,0.100,-0.100,0.011,|+,1-1-1
23,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,44,원3(I) <상>,D,11.111,11.100,0.025,0.000,0.011,-|,1-1-1
24,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,44,원3(I) <상>,진원도,0.001,0.000,-,-,-,-,1-1-1
25,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,45,원4(I) <중>,X,-0.003,0.000,0.200,-0.200,-0.003,-|,1-1-1
26,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,45,원4(I) <중>,Y,0.012,0.000,0.200,-0.200,0.012,|+,1-1-1
27,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,45,원4(I) <중>,D,11.112,11.100,0.025,0.000,0.012,-|,1-1-1
28,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,45,원4(I) <중>,진원도,0.000,0.000,-,-,-,-,1-1-1
29,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,45,원4(I) <중>,동심도,0.011,0.000,-,-,-,-,1-1-1
30,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,45,원4(I) <중>,SMmf,4P,0.000,0.000,0.000,0.000,-,1-1-1
31,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,46,원5(I) <하>,X,0.003,0.000,0.200,-0.200,0.003,|+,1-1-1
32,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,46,원5(I) <하>,Y,0.011,0.000,0.200,-0.200,0.011,|+,1-1-1
33,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,46,원5(I) <하>,D,11.111,11.100,0.025,0.000,0.011,-|,1-1-1
34,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,46,원5(I) <하>,진원도,0.000,0.000,-,-,-,-,1-1-1
35,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,46,원5(I) <하>,동심도,0.024,0.000,-,-,-,-,1-1-1
36,6속 PARKING SPRAG,45926-26000,2024.02.16. 17:04:07,양정훈,일상검사,주간,중물,46,원5(I) <하>,SMmf,4P,0.000,0.000,0.000,0.000,-,1-1-1
