,품명,품번,측정시간,측정자,검사형태,검사시간대,종물검사,번호,도형,항목,측정값,기준값,상한공차,하한공차,편차,판정,품질상태
0,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,3,평면1,평면도,0.004,0.100,-,-,-,|+,NTC
1,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,3,평면1,SMmf,4P,0.002,0.002,-0.002,0.004,-,NTC
2,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,5,원1(I) <상>,D,16.483,16.480,0.030,-0.010,0.003,--|,NTC
3,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,5,원1(I) <상>,SMmf,4P,0.002,0.002,-0.002,0.004,-,NTC
4,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,6,원2(I) <중>,D,16.490,16.480,0.030,-0.010,0.010,|+,NTC
5,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,6,원2(I) <중>,SMmf,4P,0.000,0.001,-0.001,0.001,-,NTC
6,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,7,원3(I) <하>,D,16.487,16.480,0.030,-0.010,0.007,-|,NTC
7,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,7,원3(I) <하>,SMmf,4P,0.002,0.002,-0.003,0.005,-,NTC
8,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",D,16.487,16.480,0.030,-0.010,0.007,-|,NTC
9,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",직각도,0.015,0.050,-,-,-,|++,NTC
10,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",SMmf,12P,0.002,0.002,-0.003,0.006,-,NTC
11,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,16,점2 <- 점1의 되부름 <열전관리치>,X,127.475,127.400,0.100,0.000,0.075,|+++,NTC
12,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,16,점2 <- 점1의 되부름 <열전관리치>,Y,14.008,14.000,0.100,-0.100,0.008,|+,NTC
13,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,17,각도1 <- 각도[XYPLAN]:직선4와 직선3 <각도 확인 ___참고각도>,Ang,55.960,56.000,0.200,-0.200,-0.040,-|,NTC
14,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,19,점3 <- 직선5와 직선2의 교차점,X,131.705,131.600,0.300,-0.300,0.105,|++,NTC
15,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,19,점3 <- 직선5와 직선2의 교차점,Y,7.746,7.800,0.300,-0.300,-0.054,-|,NTC
16,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,21,직선9 <9'>,Y/X,8.878,9.000,0.500,-0.500,-0.122,-|,NTC
17,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,22,원4(E) <소재경>,X,-0.049,0.000,0.200,-0.200,-0.049,-|,NTC
18,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,22,원4(E) <소재경>,Y,-0.051,0.000,0.200,-0.200,-0.051,--|,NTC
19,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,22,원4(E) <소재경>,D,25.909,26.100,0.000,-0.500,-0.191,|+,NTC
20,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,22,원4(E) <소재경>,동심도,0.141,0.000,-,-,-,-,NTC
21,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,22,원4(E) <소재경>,SMmf,5P,0.007,0.011,-0.008,0.019,-,NTC
22,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,26,점7 <- 직선10와 직선11의 교차점,X,41.926,42.000,0.100,-0.100,-0.074,---|,NTC
23,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,26,점7 <- 직선10와 직선11의 교차점,Y,15.619,15.700,0.100,-0.100,-0.081,----|,NTC
24,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,27,점8 <- 직선11와 직선12의 교차점,X,50.927,51.000,0.100,-0.100,-0.073,---|,NTC
25,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,27,점8 <- 직선11와 직선12의 교차점,Y,14.948,15.000,0.100,-0.100,-0.052,---|,NTC
26,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.03.22. 23:01:02,양정훈,일상검사,야간,초물,30,점9 <- 직선14와 직선13의 교차점,X,93.028,93.000,0.300,-0.300,0.028,|+,NTC
