품명,편차_평면1_평면도,편차_원1(I) <상>_D,편차_원2(I) <중>_D,편차_원3(I) <하>_D,"편차_원통1(I) <- 원1, 원2, 원3의 측정점 병합_D","편차_원통1(I) <- 원1, 원2, 원3의 측정점 병합_직각도",편차_점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_X,편차_점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_Y,편차_각도1 <- 각도[XYPLAN]:직선2와 직선3_Ang,편차_직선4 <27° 소재>_Y/X,편차_직선5 <7.5° 소재>_Y/X,편차_점3 <- 직선4와 직선5의 교차점 <소재>_X,편차_직선6 <35.9° 소재>_Y/X,편차_점4 <- 직선6와 직선5의 교차점 <소재>_X,편차_점4 <- 직선6와 직선5의 교차점 <소재>_Y,편차_직선7 <23.1°>_Y/X,편차_직선8 <6°>_Y/X,편차_점5 <- 직선8와 직선7의 교차점_X,편차_점5 <- 직선8와 직선7의 교차점_Y,편차_원4(E) <소재>_X,편차_원4(E) <소재>_Y,편차_원4(E) <소재>_D,편차_점6 <- 직선9와 직선10의 교차점 <소재>_X,편차_점6 <- 직선9와 직선10의 교차점 <소재>_Y,편차_점7 <- 직선10와 직선11의 교차점 <소재>_X,편차_점7 <- 직선10와 직선11의 교차점 <소재>_Y,편차_점8 <- 직선13와 직선12의 교차점 <소재>_X,편차_직선14 <23.1° 소재>_Y/X,편차_직선16 <우상 소재>_X/Y,편차_직선18 <좌상 소재>_X/Y,편차_거리1 <- XAXIS[PT]:점9와 점10 <상>_DS,편차_점13 <- 점11와 점12의 중점 <열전관리_상>_X,편차_직선19 <좌하 소재>_X/Y,편차_직선21 <우하 소재>_X/Y,편차_거리2 <- XAXIS[PT]:점14와 점15 <하>_DS,편차_점18 <- 점16와 점17의 중점 <열전관리_하>_X,편차_점19 <상>_Y,편차_점20 <하>_Y,편차_원5(I) <상부>_Y,편차_원5(I) <상부>_D,편차_원6(I) <하부>_Y,편차_원6(I) <하부>_D,편차_거리3 <- XYPLAN[PT]:원5와 원통1_DS,편차_평면2_Z,편차_평면2_평면도,편차_평면2_평행도,"편차_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_Z","편차_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평면도","편차_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평행도",편차_원7(E) <- 원4의 되부름_X,편차_원7(E) <- 원4의 되부름_Y,편차_원7(E) <- 원4의 되부름_D,편차_점28 <- 점27의 되부름 <소재 원점>_X,편차_점28 <- 점27의 되부름 <소재 원점>_Y,편차_각도2 <- 각도[XYPLAN]:직선23와 직선24_Ang,편차_점29 <- 점13의 되부름 <소재원점>_X,편차_점29 <- 점13의 되부름 <소재원점>_Y,편차_점30 <- 점18의 되부름 <소재원점>_X,편차_점30 <- 점18의 되부름 <소재원점>_Y,편차_직선25 <- 직선18의 되부름_X/Y,편차_직선26 <- 직선16의 되부름_X/Y,편차_거리4 <- XAXIS[평균]:점32와 점31 <소재기준>_DS,품질상태
PARKING SPRAG(8속)_<열전>,0.098,0.002,0.004,-0.001,0.002,0.045000000000000005,0.027,0.003,0.000,0.136,-0.019,-0.216,-0.005,-0.072,0.254,0.082,0.139,-0.121,0.164,-0.021,0.062,-0.412,0.017,0.078,0.033,0.065,-0.043,0.072,0.173,-0.109,0.020,-0.002,-0.477,0.228,-0.008,0.004,0.047,-0.013,0.034,0.028,0.041,0.035,-0.004,0.324,0.033,-0.02099999999999999,0.557,0.04,-0.032,-0.021,0.062,-0.412,0.034,0.003,-0.169,0.043,0.065,0.049,0.040,-0.081,0.146,0.020,1
PARKING SPRAG(8속)_<열전>,0.098,0.001,0.005,0.001,0.002,0.033,0.051,0.005,0.140,0.075,-0.065,-0.231,-0.062,-0.055,0.238,0.107,0.174,-0.114,0.132,0.004,0.127,-0.408,0.054,0.118,0.055,0.106,-0.027,0.081,0.210,-0.033,0.012,-0.005,-0.277,0.011,-0.020,0.005,0.027,-0.047,0.046,0.032,0.070,0.040,0.021,0.325,0.034,-0.031,0.568,0.041,-0.05199999999999999,0.004,0.127,-0.408,0.029,0.003,-0.152,0.044,0.074,0.053,0.039,0.026,0.151,0.012,1
PARKING SPRAG(8속)_<열전>,0.098,0.001,0.005,0.000,0.002,0.033,0.023,0.002,0.124,-0.045,-0.061,-0.275,-0.072,-0.107,0.210,0.154,0.199,-0.137,0.082,-0.035,0.192,-0.416,0.034,0.164,0.012,0.137,-0.057,0.152,0.376,-0.127,0.002,-0.067,-0.444,0.096,-0.044,-0.055,0.020,-0.090,0.010,0.031,0.036,0.032,-0.015,0.328,0.034,-0.0049999999999999975,0.563,0.03900000000000001,-0.027999999999999997,-0.035,0.192,-0.416,0.027,0.003,-0.367,0.045,0.068,0.057,0.002,-0.033,0.281,0.002,1
PARKING SPRAG(8속)_<열전>,0.098,0.001,0.005,0.003,0.003,0.029,0.133,0.012,0.000,0.065,-0.040,-0.143,-0.032,0.006,0.224,0.157,0.180,-0.018,0.123,0.075,0.137,-0.398,0.143,0.140,0.131,0.119,0.068,0.096,0.345,-0.003,0.006,0.056,-0.428,-0.292,-0.052,0.070,0.007,-0.141,0.098,0.033,0.153,0.037,-0.018,0.335,0.034,-0.024999999999999994,0.575,0.03900000000000001,-0.049,0.075,0.137,-0.398,0.021,0.002,-0.236,0.044,0.089,0.058,-0.010,0.067,0.275,0.006,0
PARKING SPRAG(8속)_<열전>,0.098,-0.001,0.006,0.003,0.003,0.029,0.074,0.007,0.033,0.049,-0.034,-0.190,-0.019,-0.033,0.248,0.123,0.168,-0.055,0.149,0.026,0.078,-0.431,0.094,0.073,0.076,0.066,0.016,0.104,0.440,-0.096,-0.001,0.035,-0.400,-0.015,-0.023,0.047,0.018,-0.042,0.002,0.030,0.039,0.030,-0.008,0.328,0.031000000000000003,-0.028999999999999998,0.574,0.04,-0.051000000000000004,0.026,0.078,-0.431,0.042,0.004,-0.153,0.044,0.059,0.056,0.029,-0.058,0.401,-0.001,1
PARKING SPRAG(8속)_<열전>,0.098,0.006,0.010,0.006,0.007,0.042,0.051,0.005,0.198,0.096,-0.053,-0.207,-0.080,-0.059,0.257,0.054,0.180,-0.147,0.143,0.010,0.121,-0.393,0.065,0.119,0.062,0.101,-0.015,0.113,0.362,-0.121,0.010,-0.010,-0.443,0.108,-0.009,0.011,0.035,-0.015,0.014,0.015,0.024,0.022,0.049,0.313,0.033,-0.019000000000000003,0.502,0.04,-0.001999999999999995,0.010,0.121,-0.393,0.028,0.003,-0.127,0.031,0.077,0.052,0.063,-0.063,0.305,0.010,1
PARKING SPRAG(8속)_<열전>,0.098,0.006,0.006,0.004,0.005,0.028000000000000004,0.017,0.002,0.224,0.093,-0.038,-0.254,-0.066,-0.096,0.247,0.070,0.166,-0.178,0.141,-0.026,0.113,-0.404,0.014,0.118,0.026,0.095,-0.051,0.145,0.104,0.026,0.025,-0.031,-0.426,0.074,-0.012,-0.024,0.051,-0.028,0.012,0.011,0.028,0.020,-0.013,0.369,0.034,-0.019000000000000003,0.562,0.037000000000000005,0.0050000000000000044,-0.026,0.113,-0.404,0.013,0.001,-0.205,0.039,0.080,0.047,0.042,0.080,0.050,0.025,1
PARKING SPRAG(8속)_<열전>,0.098,0.004,0.009,0.006,0.006,0.037000000000000005,0.004,0.000,0.017,0.042,-0.058,-0.241,-0.088,-0.081,0.263,0.124,0.180,-0.150,0.145,-0.017,0.121,-0.405,0.022,0.112,0.046,0.094,-0.031,0.135,0.410,-0.088,0.013,-0.031,-0.442,0.298,0.000,-0.006,0.043,0.015,-0.002,0.024,0.018,0.024,0.006,0.313,0.031000000000000003,-0.12100000000000001,0.452,0.03900000000000001,-0.09699999999999999,-0.017,0.121,-0.405,0.031,0.003,-0.153,0.034,0.073,0.060,0.079,-0.031,0.353,0.013,1
PARKING SPRAG(8속)_<열전>,0.098,0.007,0.009,0.005,0.007,0.022000000000000002,0.084,0.008,0.263,0.031,-0.083,-0.197,-0.069,-0.042,0.235,0.132,0.189,-0.078,0.116,0.033,0.148,-0.411,0.098,0.135,0.070,0.121,0.001,0.105,0.479,-0.167,-0.008,0.008,-0.414,0.001,-0.028,0.021,0.009,-0.051,-0.010,0.012,0.010,0.015,0.055,0.328,0.035,-0.020000000000000004,0.555,0.03900000000000001,-0.028999999999999998,0.033,0.148,-0.411,0.040,0.004,-0.094,0.039,0.068,0.052,0.043,-0.097,0.409,-0.008,1
PARKING SPRAG(8속)_<열전>,0.098,0.007,0.009,0.005,0.007,0.025,0.057,0.005,0.177,0.103,-0.054,-0.208,-0.046,-0.054,0.250,0.140,0.175,-0.082,0.149,0.031,0.108,-0.404,0.072,0.109,0.075,0.105,0.006,0.104,0.314,-0.142,0.012,0.006,-0.421,-0.048,-0.017,0.023,0.029,-0.036,0.013,0.015,0.041,0.014,0.053,0.305,0.033,-0.022999999999999993,0.531,0.04,-0.028999999999999998,0.031,0.108,-0.404,0.003,0.000,-0.121,0.021,0.081,0.038,0.049,-0.091,0.262,0.012,1
PARKING SPRAG(8속)_<열전>,0.097,0.004,0.005,0.004,0.005,0.03900000000000001,0.081,0.008,0.162,0.049,-0.052,-0.186,-0.085,-0.026,0.251,0.144,0.170,-0.062,0.140,0.031,0.103,-0.420,0.092,0.103,0.084,0.074,0.020,0.116,0.374,-0.181,0.000,0.025,-0.466,-0.037,-0.019,0.039,0.013,-0.034,-0.022,0.008,-0.013,0.013,0.087,0.358,0.033,0.0,0.576,0.036000000000000004,-0.011999999999999997,0.031,0.103,-0.420,0.040,0.004,-0.139,0.038,0.059,0.053,0.043,-0.130,0.324,0.000,1
PARKING SPRAG(8속)_<열전>,0.097,0.001,0.003,-0.001,0.001,0.044000000000000004,0.036,0.003,0.211,0.058,-0.017,-0.255,-0.054,-0.082,0.239,0.069,0.130,-0.140,0.152,-0.037,0.067,-0.417,-0.004,0.091,0.022,0.074,-0.034,0.040,0.079,0.091,0.027,-0.007,-0.381,-0.027,-0.021,-0.011,0.056,-0.044,0.037,0.030,0.049,0.031,0.014,0.352,0.034,0.0040000000000000036,0.550,0.043000000000000003,-0.000999999999999994,-0.037,0.067,-0.417,0.043,0.004,-0.066,0.054,0.073,0.050,0.009,0.122,0.048,0.027,0
PARKING SPRAG(8속)_<열전>,0.097,-0.004,0.007,0.001,0.002,0.047,0.054,0.005,0.267,-0.004,-0.045,-0.249,-0.058,-0.067,0.244,0.120,0.174,-0.106,0.137,-0.004,0.120,-0.400,0.039,0.117,0.051,0.104,-0.037,0.124,0.183,-0.136,0.011,-0.012,-0.432,0.195,-0.022,-0.002,0.033,-0.039,0.025,0.040,0.037,0.039,0.000,0.290,0.035,-0.03,0.473,0.038000000000000006,-0.013999999999999999,-0.004,0.120,-0.400,0.041,0.004,-0.065,0.041,0.073,0.052,0.039,-0.079,0.125,0.011,0
PARKING SPRAG(8속)_<열전>,0.097,0.000,0.006,-0.001,0.002,0.042,0.076,0.007,0.153,0.065,-0.050,-0.179,-0.070,-0.024,0.263,0.135,0.183,-0.035,0.171,0.035,0.090,-0.407,0.085,0.087,0.085,0.075,0.014,0.173,0.229,-0.060,0.005,0.032,-0.436,-0.091,-0.008,0.063,0.021,-0.010,0.042,0.027,0.049,0.037,-0.013,0.294,0.035,-0.189,0.414,0.04,-0.16299999999999998,0.035,0.090,-0.407,0.030,0.003,-0.145,0.037,0.065,0.068,0.065,-0.017,0.186,0.005,1
PARKING SPRAG(8속)_<열전>,0.097,-0.004,0.008,-0.001,0.001,0.041,0.216,0.020,0.162,0.084,-0.046,-0.023,-0.084,0.103,0.268,0.039,0.201,0.017,0.158,0.172,0.109,-0.401,0.247,0.109,0.231,0.081,0.160,0.064,0.367,-0.173,-0.005,0.147,-0.347,-0.447,-0.028,0.179,-0.011,-0.092,0.078,0.033,0.109,0.029,-0.032,0.328,0.035,0.009000000000000001,0.539,0.038000000000000006,0.0020000000000000018,0.172,0.109,-0.401,0.033,0.003,-0.154,0.034,0.075,0.066,0.037,-0.109,0.303,-0.005,0
PARKING SPRAG(8속)_<열전>,0.098,0.002,0.005,0.000,0.002,0.04,0.131,0.012,0.173,0.041,-0.032,-0.134,0.014,-0.004,0.245,0.299,0.181,0.058,0.153,0.064,0.087,-0.432,0.118,0.075,0.118,0.071,0.076,0.145,0.278,0.002,0.001,0.067,-0.371,-0.119,-0.028,0.078,-0.005,-0.075,-0.027,0.048,0.007,0.042,0.005,0.303,0.030000000000000002,-0.006999999999999999,0.518,0.033,-0.015,0.064,0.087,-0.432,0.041,0.004,-0.183,0.045,0.053,0.056,0.016,0.046,0.233,0.001,0
