품명,측정값_평면1_평면도,기준값_평면1_평면도,편차_평면1_평면도,측정값_원1(I) <상>_D,기준값_원1(I) <상>_D,편차_원1(I) <상>_D,측정값_원2(I) <중>_D,기준값_원2(I) <중>_D,편차_원2(I) <중>_D,측정값_원3(I) <하>_D,기준값_원3(I) <하>_D,편차_원3(I) <하>_D,"측정값_원통1(I) <- 원1, 원2, 원3의 측정점 병합_D","기준값_원통1(I) <- 원1, 원2, 원3의 측정점 병합_D","편차_원통1(I) <- 원1, 원2, 원3의 측정점 병합_D","측정값_원통1(I) <- 원1, 원2, 원3의 측정점 병합_직각도","기준값_원통1(I) <- 원1, 원2, 원3의 측정점 병합_직각도","편차_원통1(I) <- 원1, 원2, 원3의 측정점 병합_직각도",측정값_점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_X,기준값_점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_X,편차_점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_X,측정값_점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_Y,기준값_점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_Y,편차_점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_Y,측정값_각도1 <- 각도[XYPLAN]:직선2와 직선3_Ang,기준값_각도1 <- 각도[XYPLAN]:직선2와 직선3_Ang,편차_각도1 <- 각도[XYPLAN]:직선2와 직선3_Ang,측정값_직선4 <27° 소재>_Y/X,기준값_직선4 <27° 소재>_Y/X,편차_직선4 <27° 소재>_Y/X,측정값_직선5 <7.5° 소재>_Y/X,기준값_직선5 <7.5° 소재>_Y/X,편차_직선5 <7.5° 소재>_Y/X,측정값_점3 <- 직선4와 직선5의 교차점 <소재>_X,기준값_점3 <- 직선4와 직선5의 교차점 <소재>_X,편차_점3 <- 직선4와 직선5의 교차점 <소재>_X,측정값_직선6 <35.9° 소재>_Y/X,기준값_직선6 <35.9° 소재>_Y/X,편차_직선6 <35.9° 소재>_Y/X,측정값_점4 <- 직선6와 직선5의 교차점 <소재>_X,기준값_점4 <- 직선6와 직선5의 교차점 <소재>_X,편차_점4 <- 직선6와 직선5의 교차점 <소재>_X,측정값_점4 <- 직선6와 직선5의 교차점 <소재>_Y,기준값_점4 <- 직선6와 직선5의 교차점 <소재>_Y,편차_점4 <- 직선6와 직선5의 교차점 <소재>_Y,측정값_직선7 <23.1°>_Y/X,기준값_직선7 <23.1°>_Y/X,편차_직선7 <23.1°>_Y/X,측정값_직선8 <6°>_Y/X,기준값_직선8 <6°>_Y/X,편차_직선8 <6°>_Y/X,측정값_점5 <- 직선8와 직선7의 교차점_X,기준값_점5 <- 직선8와 직선7의 교차점_X,편차_점5 <- 직선8와 직선7의 교차점_X,측정값_점5 <- 직선8와 직선7의 교차점_Y,기준값_점5 <- 직선8와 직선7의 교차점_Y,편차_점5 <- 직선8와 직선7의 교차점_Y,측정값_원4(E) <소재>_X,기준값_원4(E) <소재>_X,편차_원4(E) <소재>_X,측정값_원4(E) <소재>_Y,기준값_원4(E) <소재>_Y,편차_원4(E) <소재>_Y,측정값_원4(E) <소재>_D,기준값_원4(E) <소재>_D,편차_원4(E) <소재>_D,측정값_점6 <- 직선9와 직선10의 교차점 <소재>_X,기준값_점6 <- 직선9와 직선10의 교차점 <소재>_X,편차_점6 <- 직선9와 직선10의 교차점 <소재>_X,측정값_점6 <- 직선9와 직선10의 교차점 <소재>_Y,기준값_점6 <- 직선9와 직선10의 교차점 <소재>_Y,편차_점6 <- 직선9와 직선10의 교차점 <소재>_Y,측정값_점7 <- 직선10와 직선11의 교차점 <소재>_X,기준값_점7 <- 직선10와 직선11의 교차점 <소재>_X,편차_점7 <- 직선10와 직선11의 교차점 <소재>_X,측정값_점7 <- 직선10와 직선11의 교차점 <소재>_Y,기준값_점7 <- 직선10와 직선11의 교차점 <소재>_Y,편차_점7 <- 직선10와 직선11의 교차점 <소재>_Y,측정값_점8 <- 직선13와 직선12의 교차점 <소재>_X,기준값_점8 <- 직선13와 직선12의 교차점 <소재>_X,편차_점8 <- 직선13와 직선12의 교차점 <소재>_X,측정값_직선14 <23.1° 소재>_Y/X,기준값_직선14 <23.1° 소재>_Y/X,편차_직선14 <23.1° 소재>_Y/X,측정값_직선16 <우상 소재>_X/Y,기준값_직선16 <우상 소재>_X/Y,편차_직선16 <우상 소재>_X/Y,측정값_직선18 <좌상 소재>_X/Y,기준값_직선18 <좌상 소재>_X/Y,편차_직선18 <좌상 소재>_X/Y,측정값_거리1 <- XAXIS[PT]:점9와 점10 <상>_DS,기준값_거리1 <- XAXIS[PT]:점9와 점10 <상>_DS,편차_거리1 <- XAXIS[PT]:점9와 점10 <상>_DS,측정값_점13 <- 점11와 점12의 중점 <열전관리_상>_X,기준값_점13 <- 점11와 점12의 중점 <열전관리_상>_X,편차_점13 <- 점11와 점12의 중점 <열전관리_상>_X,측정값_직선19 <좌하 소재>_X/Y,기준값_직선19 <좌하 소재>_X/Y,편차_직선19 <좌하 소재>_X/Y,측정값_직선21 <우하 소재>_X/Y,기준값_직선21 <우하 소재>_X/Y,편차_직선21 <우하 소재>_X/Y,측정값_거리2 <- XAXIS[PT]:점14와 점15 <하>_DS,기준값_거리2 <- XAXIS[PT]:점14와 점15 <하>_DS,편차_거리2 <- XAXIS[PT]:점14와 점15 <하>_DS,측정값_점18 <- 점16와 점17의 중점 <열전관리_하>_X,기준값_점18 <- 점16와 점17의 중점 <열전관리_하>_X,편차_점18 <- 점16와 점17의 중점 <열전관리_하>_X,측정값_점19 <상>_Y,기준값_점19 <상>_Y,편차_점19 <상>_Y,측정값_점20 <하>_Y,기준값_점20 <하>_Y,편차_점20 <하>_Y,측정값_원5(I) <상부>_Y,기준값_원5(I) <상부>_Y,편차_원5(I) <상부>_Y,측정값_원5(I) <상부>_D,기준값_원5(I) <상부>_D,편차_원5(I) <상부>_D,측정값_원6(I) <하부>_Y,기준값_원6(I) <하부>_Y,편차_원6(I) <하부>_Y,측정값_원6(I) <하부>_D,기준값_원6(I) <하부>_D,편차_원6(I) <하부>_D,측정값_거리3 <- XYPLAN[PT]:원5와 원통1_DS,기준값_거리3 <- XYPLAN[PT]:원5와 원통1_DS,편차_거리3 <- XYPLAN[PT]:원5와 원통1_DS,측정값_평면2_Z,기준값_평면2_Z,편차_평면2_Z,측정값_평면2_평면도,기준값_평면2_평면도,편차_평면2_평면도,측정값_평면2_평행도,기준값_평면2_평행도,편차_평면2_평행도,"측정값_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_Z","기준값_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_Z","편차_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_Z","측정값_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평면도","기준값_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평면도","편차_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평면도","측정값_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평행도","기준값_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평행도","편차_평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평행도",측정값_원7(E) <- 원4의 되부름_X,기준값_원7(E) <- 원4의 되부름_X,편차_원7(E) <- 원4의 되부름_X,측정값_원7(E) <- 원4의 되부름_Y,기준값_원7(E) <- 원4의 되부름_Y,편차_원7(E) <- 원4의 되부름_Y,측정값_원7(E) <- 원4의 되부름_D,기준값_원7(E) <- 원4의 되부름_D,편차_원7(E) <- 원4의 되부름_D,측정값_점28 <- 점27의 되부름 <소재 원점>_X,기준값_점28 <- 점27의 되부름 <소재 원점>_X,편차_점28 <- 점27의 되부름 <소재 원점>_X,측정값_점28 <- 점27의 되부름 <소재 원점>_Y,기준값_점28 <- 점27의 되부름 <소재 원점>_Y,편차_점28 <- 점27의 되부름 <소재 원점>_Y,측정값_각도2 <- 각도[XYPLAN]:직선23와 직선24_Ang,기준값_각도2 <- 각도[XYPLAN]:직선23와 직선24_Ang,편차_각도2 <- 각도[XYPLAN]:직선23와 직선24_Ang,측정값_점29 <- 점13의 되부름 <소재원점>_X,기준값_점29 <- 점13의 되부름 <소재원점>_X,편차_점29 <- 점13의 되부름 <소재원점>_X,측정값_점29 <- 점13의 되부름 <소재원점>_Y,기준값_점29 <- 점13의 되부름 <소재원점>_Y,편차_점29 <- 점13의 되부름 <소재원점>_Y,측정값_점30 <- 점18의 되부름 <소재원점>_X,기준값_점30 <- 점18의 되부름 <소재원점>_X,편차_점30 <- 점18의 되부름 <소재원점>_X,측정값_점30 <- 점18의 되부름 <소재원점>_Y,기준값_점30 <- 점18의 되부름 <소재원점>_Y,편차_점30 <- 점18의 되부름 <소재원점>_Y,측정값_직선25 <- 직선18의 되부름_X/Y,기준값_직선25 <- 직선18의 되부름_X/Y,편차_직선25 <- 직선18의 되부름_X/Y,측정값_직선26 <- 직선16의 되부름_X/Y,기준값_직선26 <- 직선16의 되부름_X/Y,편차_직선26 <- 직선16의 되부름_X/Y,측정값_거리4 <- XAXIS[평균]:점32와 점31 <소재기준>_DS,기준값_거리4 <- XAXIS[평균]:점32와 점31 <소재기준>_DS,편차_거리4 <- XAXIS[평균]:점32와 점31 <소재기준>_DS,품질상태
PARKING SPRAG(8속)_<열전>,0.002,0.1,0.098,16.487,16.485,0.002,16.489,16.485,0.004,16.484,16.485,-0.001,16.487,16.485,0.002,0.005,0.05,0.045000000000000005,116.627,116.6,0.027,-10.903,10.9,0.003,57.000,57.0,0.000,27.136,27.0,0.136,7.481,7.5,-0.019,109.984,110.2,-0.216,35.895,35.9,-0.005,87.928,88.0,-0.072,-24.254,-24.0,0.254,-23.182,-23.1,0.082,-6.139,-6.0,0.139,47.879,48.0,-0.121,-16.264,-16.1,0.164,-0.021,0.0,-0.021,0.062,0.0,0.062,25.688,26.1,-0.412,44.117,44.1,0.017,6.578,6.5,0.078,54.033,54.0,0.033,5.165,5.1,0.065,74.357,74.4,-0.043,-23.172,-23.1,0.072,14.673,14.5,0.173,-14.391,-14.5,-0.109,10.320,10.3,0.020,72.868,72.87,-0.002,-14.023,-14.5,-0.477,14.728,14.5,0.228,10.292,10.3,-0.008,72.874,72.87,0.004,-2.347,-2.3,0.047,-2.287,-2.3,-0.013,2.034,2.0,0.034,3.528,3.5,0.028,2.041,2.0,0.041,3.535,3.5,0.035,46.496,46.5,-0.004,12.324,12.0,0.324,0.017,0.05,0.033,0.071,0.05,-0.02099999999999999,12.357,11.8,0.557,0.010,0.05,0.04,0.082,0.05,-0.032,-0.021,0.0,-0.021,0.062,0.0,0.062,25.688,26.1,-0.412,116.634,116.6,0.034,-10.903,-10.9,0.003,56.952,57.121,-0.169,72.913,72.87,0.043,-2.365,-2.3,0.065,72.919,72.87,0.049,-2.340,-2.3,0.040,-14.419,-14.5,-0.081,14.646,14.5,0.146,10.320,10.3,0.020,1
PARKING SPRAG(8속)_<열전>,0.002,0.1,0.098,16.486,16.485,0.001,16.490,16.485,0.005,16.486,16.485,0.001,16.487,16.485,0.002,0.017,0.05,0.033,116.651,116.6,0.051,-10.905,10.9,0.005,57.140,57.0,0.140,27.075,27.0,0.075,7.435,7.5,-0.065,109.969,110.2,-0.231,35.838,35.9,-0.062,87.945,88.0,-0.055,-24.238,-24.0,0.238,-23.207,-23.1,0.107,-6.174,-6.0,0.174,47.886,48.0,-0.114,-16.232,-16.1,0.132,0.004,0.0,0.004,0.127,0.0,0.127,25.692,26.1,-0.408,44.154,44.1,0.054,6.618,6.5,0.118,54.055,54.0,0.055,5.206,5.1,0.106,74.373,74.4,-0.027,-23.181,-23.1,0.081,14.710,14.5,0.210,-14.467,-14.5,-0.033,10.312,10.3,0.012,72.865,72.87,-0.005,-14.223,-14.5,-0.277,14.511,14.5,0.011,10.280,10.3,-0.020,72.875,72.87,0.005,-2.327,-2.3,0.027,-2.253,-2.3,-0.047,2.046,2.0,0.046,3.532,3.5,0.032,2.070,2.0,0.070,3.540,3.5,0.040,46.521,46.5,0.021,12.325,12.0,0.325,0.016,0.05,0.034,0.081,0.05,-0.031,12.368,11.8,0.568,0.009,0.05,0.041,0.102,0.05,-0.05199999999999999,0.004,0.0,0.004,0.127,0.0,0.127,25.692,26.1,-0.408,116.629,116.6,0.029,-10.903,-10.9,0.003,56.969,57.121,-0.152,72.914,72.87,0.044,-2.374,-2.3,0.074,72.923,72.87,0.053,-2.339,-2.3,0.039,-14.526,-14.5,0.026,14.651,14.5,0.151,10.312,10.3,0.012,1
PARKING SPRAG(8속)_<열전>,0.002,0.1,0.098,16.486,16.485,0.001,16.490,16.485,0.005,16.485,16.485,0.000,16.487,16.485,0.002,0.017,0.05,0.033,116.623,116.6,0.023,-10.902,10.9,0.002,57.124,57.0,0.124,26.955,27.0,-0.045,7.439,7.5,-0.061,109.925,110.2,-0.275,35.828,35.9,-0.072,87.893,88.0,-0.107,-24.210,-24.0,0.210,-23.254,-23.1,0.154,-6.199,-6.0,0.199,47.863,48.0,-0.137,-16.182,-16.1,0.082,-0.035,0.0,-0.035,0.192,0.0,0.192,25.684,26.1,-0.416,44.134,44.1,0.034,6.664,6.5,0.164,54.012,54.0,0.012,5.237,5.1,0.137,74.343,74.4,-0.057,-23.252,-23.1,0.152,14.876,14.5,0.376,-14.373,-14.5,-0.127,10.302,10.3,0.002,72.803,72.87,-0.067,-14.056,-14.5,-0.444,14.596,14.5,0.096,10.256,10.3,-0.044,72.815,72.87,-0.055,-2.320,-2.3,0.020,-2.210,-2.3,-0.090,2.010,2.0,0.010,3.531,3.5,0.031,2.036,2.0,0.036,3.532,3.5,0.032,46.485,46.5,-0.015,12.328,12.0,0.328,0.016,0.05,0.034,0.055,0.05,-0.0049999999999999975,12.363,11.8,0.563,0.011,0.05,0.03900000000000001,0.078,0.05,-0.027999999999999997,-0.035,0.0,-0.035,0.192,0.0,0.192,25.684,26.1,-0.416,116.627,116.6,0.027,-10.903,-10.9,0.003,56.754,57.121,-0.367,72.915,72.87,0.045,-2.368,-2.3,0.068,72.927,72.87,0.057,-2.302,-2.3,0.002,-14.467,-14.5,-0.033,14.781,14.5,0.281,10.302,10.3,0.002,1
PARKING SPRAG(8속)_<열전>,0.002,0.1,0.098,16.486,16.485,0.001,16.490,16.485,0.005,16.488,16.485,0.003,16.488,16.485,0.003,0.021,0.05,0.029,116.733,116.6,0.133,-10.912,10.9,0.012,57.000,57.0,0.000,27.065,27.0,0.065,7.460,7.5,-0.040,110.057,110.2,-0.143,35.868,35.9,-0.032,88.006,88.0,0.006,-24.224,-24.0,0.224,-23.257,-23.1,0.157,-6.180,-6.0,0.180,47.982,48.0,-0.018,-16.223,-16.1,0.123,0.075,0.0,0.075,0.137,0.0,0.137,25.702,26.1,-0.398,44.243,44.1,0.143,6.640,6.5,0.140,54.131,54.0,0.131,5.219,5.1,0.119,74.468,74.4,0.068,-23.196,-23.1,0.096,14.845,14.5,0.345,-14.497,-14.5,-0.003,10.306,10.3,0.006,72.926,72.87,0.056,-14.072,-14.5,-0.428,14.208,14.5,-0.292,10.248,10.3,-0.052,72.940,72.87,0.070,-2.307,-2.3,0.007,-2.159,-2.3,-0.141,2.098,2.0,0.098,3.533,3.5,0.033,2.153,2.0,0.153,3.537,3.5,0.037,46.482,46.5,-0.018,12.335,12.0,0.335,0.016,0.05,0.034,0.075,0.05,-0.024999999999999994,12.375,11.8,0.575,0.011,0.05,0.03900000000000001,0.099,0.05,-0.049,0.075,0.0,0.075,0.137,0.0,0.137,25.702,26.1,-0.398,116.621,116.6,0.021,-10.902,-10.9,0.002,56.885,57.121,-0.236,72.914,72.87,0.044,-2.389,-2.3,0.089,72.928,72.87,0.058,-2.290,-2.3,-0.010,-14.567,-14.5,0.067,14.775,14.5,0.275,10.306,10.3,0.006,0
PARKING SPRAG(8속)_<열전>,0.002,0.1,0.098,16.484,16.485,-0.001,16.491,16.485,0.006,16.488,16.485,0.003,16.488,16.485,0.003,0.021,0.05,0.029,116.674,116.6,0.074,-10.907,10.9,0.007,57.033,57.0,0.033,27.049,27.0,0.049,7.466,7.5,-0.034,110.010,110.2,-0.190,35.881,35.9,-0.019,87.967,88.0,-0.033,-24.248,-24.0,0.248,-23.223,-23.1,0.123,-6.168,-6.0,0.168,47.945,48.0,-0.055,-16.249,-16.1,0.149,0.026,0.0,0.026,0.078,0.0,0.078,25.669,26.1,-0.431,44.194,44.1,0.094,6.573,6.5,0.073,54.076,54.0,0.076,5.166,5.1,0.066,74.416,74.4,0.016,-23.204,-23.1,0.104,14.940,14.5,0.440,-14.404,-14.5,-0.096,10.299,10.3,-0.001,72.905,72.87,0.035,-14.100,-14.5,-0.400,14.485,14.5,-0.015,10.277,10.3,-0.023,72.917,72.87,0.047,-2.318,-2.3,0.018,-2.258,-2.3,-0.042,2.002,2.0,0.002,3.530,3.5,0.030,2.039,2.0,0.039,3.530,3.5,0.030,46.492,46.5,-0.008,12.328,12.0,0.328,0.019,0.05,0.031000000000000003,0.079,0.05,-0.028999999999999998,12.374,11.8,0.574,0.010,0.05,0.04,0.101,0.05,-0.051000000000000004,0.026,0.0,0.026,0.078,0.0,0.078,25.669,26.1,-0.431,116.642,116.6,0.042,-10.904,-10.9,0.004,56.968,57.121,-0.153,72.914,72.87,0.044,-2.359,-2.3,0.059,72.926,72.87,0.056,-2.329,-2.3,0.029,-14.442,-14.5,-0.058,14.901,14.5,0.401,10.299,10.3,-0.001,1
PARKING SPRAG(8속)_<열전>,0.002,0.1,0.098,16.491,16.485,0.006,16.495,16.485,0.010,16.491,16.485,0.006,16.492,16.485,0.007,0.008,0.05,0.042,116.651,116.6,0.051,-10.905,10.9,0.005,57.198,57.0,0.198,27.096,27.0,0.096,7.447,7.5,-0.053,109.993,110.2,-0.207,35.820,35.9,-0.080,87.941,88.0,-0.059,-24.257,-24.0,0.257,-23.154,-23.1,0.054,-6.180,-6.0,0.180,47.853,48.0,-0.147,-16.243,-16.1,0.143,0.010,0.0,0.010,0.121,0.0,0.121,25.707,26.1,-0.393,44.165,44.1,0.065,6.619,6.5,0.119,54.062,54.0,0.062,5.201,5.1,0.101,74.385,74.4,-0.015,-23.213,-23.1,0.113,14.862,14.5,0.362,-14.379,-14.5,-0.121,10.310,10.3,0.010,72.860,72.87,-0.010,-14.057,-14.5,-0.443,14.608,14.5,0.108,10.291,10.3,-0.009,72.881,72.87,0.011,-2.335,-2.3,0.035,-2.285,-2.3,-0.015,2.014,2.0,0.014,3.515,3.5,0.015,2.024,2.0,0.024,3.522,3.5,0.022,46.549,46.5,0.049,12.313,12.0,0.313,0.017,0.05,0.033,0.069,0.05,-0.019000000000000003,12.302,11.8,0.502,0.010,0.05,0.04,0.052,0.05,-0.001999999999999995,0.010,0.0,0.010,0.121,0.0,0.121,25.707,26.1,-0.393,116.628,116.6,0.028,-10.903,-10.9,0.003,56.994,57.121,-0.127,72.901,72.87,0.031,-2.377,-2.3,0.077,72.922,72.87,0.052,-2.363,-2.3,0.063,-14.437,-14.5,-0.063,14.805,14.5,0.305,10.310,10.3,0.010,1
PARKING SPRAG(8속)_<열전>,0.002,0.1,0.098,16.491,16.485,0.006,16.491,16.485,0.006,16.489,16.485,0.004,16.490,16.485,0.005,0.022,0.05,0.028000000000000004,116.617,116.6,0.017,-10.902,10.9,0.002,57.224,57.0,0.224,27.093,27.0,0.093,7.462,7.5,-0.038,109.946,110.2,-0.254,35.834,35.9,-0.066,87.904,88.0,-0.096,-24.247,-24.0,0.247,-23.170,-23.1,0.070,-6.166,-6.0,0.166,47.822,48.0,-0.178,-16.241,-16.1,0.141,-0.026,0.0,-0.026,0.113,0.0,0.113,25.696,26.1,-0.404,44.114,44.1,0.014,6.618,6.5,0.118,54.026,54.0,0.026,5.195,5.1,0.095,74.349,74.4,-0.051,-23.245,-23.1,0.145,14.604,14.5,0.104,-14.526,-14.5,0.026,10.325,10.3,0.025,72.839,72.87,-0.031,-14.074,-14.5,-0.426,14.574,14.5,0.074,10.288,10.3,-0.012,72.846,72.87,-0.024,-2.351,-2.3,0.051,-2.272,-2.3,-0.028,2.012,2.0,0.012,3.511,3.5,0.011,2.028,2.0,0.028,3.520,3.5,0.020,46.487,46.5,-0.013,12.369,12.0,0.369,0.016,0.05,0.034,0.069,0.05,-0.019000000000000003,12.362,11.8,0.562,0.013,0.05,0.037000000000000005,0.045,0.05,0.0050000000000000044,-0.026,0.0,-0.026,0.113,0.0,0.113,25.696,26.1,-0.404,116.613,116.6,0.013,-10.901,-10.9,0.001,56.916,57.121,-0.205,72.909,72.87,0.039,-2.380,-2.3,0.080,72.917,72.87,0.047,-2.342,-2.3,0.042,-14.580,-14.5,0.080,14.550,14.5,0.050,10.325,10.3,0.025,1
PARKING SPRAG(8속)_<열전>,0.002,0.1,0.098,16.489,16.485,0.004,16.494,16.485,0.009,16.491,16.485,0.006,16.491,16.485,0.006,0.013,0.05,0.037000000000000005,116.604,116.6,0.004,-10.900,10.9,0.000,57.017,57.0,0.017,27.042,27.0,0.042,7.442,7.5,-0.058,109.959,110.2,-0.241,35.812,35.9,-0.088,87.919,88.0,-0.081,-24.263,-24.0,0.263,-23.224,-23.1,0.124,-6.180,-6.0,0.180,47.850,48.0,-0.150,-16.245,-16.1,0.145,-0.017,0.0,-0.017,0.121,0.0,0.121,25.695,26.1,-0.405,44.122,44.1,0.022,6.612,6.5,0.112,54.046,54.0,0.046,5.194,5.1,0.094,74.369,74.4,-0.031,-23.235,-23.1,0.135,14.910,14.5,0.410,-14.412,-14.5,-0.088,10.313,10.3,0.013,72.839,72.87,-0.031,-14.058,-14.5,-0.442,14.798,14.5,0.298,10.300,10.3,0.000,72.864,72.87,-0.006,-2.343,-2.3,0.043,-2.315,-2.3,0.015,1.998,2.0,-0.002,3.524,3.5,0.024,2.018,2.0,0.018,3.524,3.5,0.024,46.506,46.5,0.006,12.313,12.0,0.313,0.019,0.05,0.031000000000000003,0.171,0.05,-0.12100000000000001,12.252,11.8,0.452,0.011,0.05,0.03900000000000001,0.147,0.05,-0.09699999999999999,-0.017,0.0,-0.017,0.121,0.0,0.121,25.695,26.1,-0.405,116.631,116.6,0.031,-10.903,-10.9,0.003,56.968,57.121,-0.153,72.904,72.87,0.034,-2.373,-2.3,0.073,72.930,72.87,0.060,-2.379,-2.3,0.079,-14.469,-14.5,-0.031,14.853,14.5,0.353,10.313,10.3,0.013,1
PARKING SPRAG(8속)_<열전>,0.002,0.1,0.098,16.492,16.485,0.007,16.494,16.485,0.009,16.490,16.485,0.005,16.492,16.485,0.007,0.028,0.05,0.022000000000000002,116.684,116.6,0.084,-10.908,10.9,0.008,57.263,57.0,0.263,27.031,27.0,0.031,7.417,7.5,-0.083,110.003,110.2,-0.197,35.831,35.9,-0.069,87.958,88.0,-0.042,-24.235,-24.0,0.235,-23.232,-23.1,0.132,-6.189,-6.0,0.189,47.922,48.0,-0.078,-16.216,-16.1,0.116,0.033,0.0,0.033,0.148,0.0,0.148,25.689,26.1,-0.411,44.198,44.1,0.098,6.635,6.5,0.135,54.070,54.0,0.070,5.221,5.1,0.121,74.401,74.4,0.001,-23.205,-23.1,0.105,14.979,14.5,0.479,-14.333,-14.5,-0.167,10.292,10.3,-0.008,72.878,72.87,0.008,-14.086,-14.5,-0.414,14.501,14.5,0.001,10.272,10.3,-0.028,72.891,72.87,0.021,-2.309,-2.3,0.009,-2.249,-2.3,-0.051,1.990,2.0,-0.010,3.512,3.5,0.012,2.010,2.0,0.010,3.515,3.5,0.015,46.555,46.5,0.055,12.328,12.0,0.328,0.015,0.05,0.035,0.070,0.05,-0.020000000000000004,12.355,11.8,0.555,0.011,0.05,0.03900000000000001,0.079,0.05,-0.028999999999999998,0.033,0.0,0.033,0.148,0.0,0.148,25.689,26.1,-0.411,116.640,116.6,0.040,-10.904,-10.9,0.004,57.027,57.121,-0.094,72.909,72.87,0.039,-2.368,-2.3,0.068,72.922,72.87,0.052,-2.343,-2.3,0.043,-14.403,-14.5,-0.097,14.909,14.5,0.409,10.292,10.3,-0.008,1
PARKING SPRAG(8속)_<열전>,0.002,0.1,0.098,16.492,16.485,0.007,16.494,16.485,0.009,16.490,16.485,0.005,16.492,16.485,0.007,0.025,0.05,0.025,116.657,116.6,0.057,-10.905,10.9,0.005,57.177,57.0,0.177,27.103,27.0,0.103,7.446,7.5,-0.054,109.992,110.2,-0.208,35.854,35.9,-0.046,87.946,88.0,-0.054,-24.250,-24.0,0.250,-23.240,-23.1,0.140,-6.175,-6.0,0.175,47.918,48.0,-0.082,-16.249,-16.1,0.149,0.031,0.0,0.031,0.108,0.0,0.108,25.696,26.1,-0.404,44.172,44.1,0.072,6.609,6.5,0.109,54.075,54.0,0.075,5.205,5.1,0.105,74.406,74.4,0.006,-23.204,-23.1,0.104,14.814,14.5,0.314,-14.358,-14.5,-0.142,10.312,10.3,0.012,72.876,72.87,0.006,-14.079,-14.5,-0.421,14.452,14.5,-0.048,10.283,10.3,-0.017,72.893,72.87,0.023,-2.329,-2.3,0.029,-2.264,-2.3,-0.036,2.013,2.0,0.013,3.515,3.5,0.015,2.041,2.0,0.041,3.514,3.5,0.014,46.553,46.5,0.053,12.305,12.0,0.305,0.017,0.05,0.033,0.073,0.05,-0.022999999999999993,12.331,11.8,0.531,0.010,0.05,0.04,0.079,0.05,-0.028999999999999998,0.031,0.0,0.031,0.108,0.0,0.108,25.696,26.1,-0.404,116.603,116.6,0.003,-10.900,-10.9,0.000,57.000,57.121,-0.121,72.891,72.87,0.021,-2.381,-2.3,0.081,72.908,72.87,0.038,-2.349,-2.3,0.049,-14.409,-14.5,-0.091,14.762,14.5,0.262,10.312,10.3,0.012,1
