,품명,품번,측정시간,측정자,검사형태,검사시간대,종물검사,번호,도형,항목,측정값,기준값,상한공차,하한공차,편차,판정,품질상태
0,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,3,평면1,평면도,0.002,0.100,-,-,-,|+,NTC
1,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,3,평면1,SMmf,4P,0.001,0.001,-0.001,0.002,-,NTC
2,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,5,원1(I) <상>,D,16.485,16.485,0.030,0.000,0.000,0.000,NTC
3,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,5,원1(I) <상>,SMmf,4P,0.002,0.002,-0.003,0.005,-,NTC
4,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,6,원2(I) <중>,D,16.497,16.485,0.030,0.000,0.012,-|,NTC
5,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,6,원2(I) <중>,SMmf,4P,0.001,0.001,-0.002,0.003,-,NTC
6,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,7,원3(I) <하>,D,16.490,16.485,0.030,0.000,0.005,---|,NTC
7,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,7,원3(I) <하>,SMmf,4P,0.002,0.002,-0.002,0.004,-,NTC
8,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",D,16.491,16.485,0.030,0.000,0.006,---|,NTC
9,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",원통도,0.012,0.000,-,-,-,-,NTC
10,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",직각도,0.012,0.050,-,-,-,|+,NTC
11,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",SMmf,12P,0.003,0.005,-0.007,0.012,-,NTC
12,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,14,점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>,X,116.109,116.600,0.100,0.000,-0.491,-0.491,NTC
13,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,14,점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>,Y,-10.854,10.900,0.100,-0.100,-0.046,--|,NTC
14,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,16,각도1 <- 각도[XYPLAN]:직선2와 직선3,Ang,44.240,57.000,0.333,-0.333,-12.760,-12.427,NTC
15,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,17,직선4 <27° 소재>,Y/X,27.319,27.000,0.500,-0.500,0.319,|+++,NTC
16,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,18,직선5 <7.5° 소재>,Y/X,7.525,7.500,0.500,-0.500,0.025,|+,NTC
17,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,19,점3 <- 직선4와 직선5의 교차점 <소재>,X,110.108,110.200,0.300,-0.300,-0.092,--|,NTC
18,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,20,직선6 <35.9° 소재>,Y/X,35.778,35.900,0.500,-0.500,-0.122,-|,NTC
19,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,21,점4 <- 직선6와 직선5의 교차점 <소재>,X,88.008,88.000,0.300,-0.300,0.008,|+,NTC
20,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,21,점4 <- 직선6와 직선5의 교차점 <소재>,Y,-24.215,-24.000,0.300,-0.300,0.215,|+++,NTC
21,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,22,직선7 <23.1°>,Y/X,-23.205,-23.100,0.500,-0.500,0.105,|+,NTC
22,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,23,직선8 <6°>,Y/X,-6.130,-6.000,0.500,-0.500,0.130,|++,NTC
23,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,24,점5 <- 직선8와 직선7의 교차점,X,47.954,48.000,0.300,-0.300,-0.046,-|,NTC
24,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,24,점5 <- 직선8와 직선7의 교차점,Y,-16.245,-16.100,0.300,-0.300,0.145,|++,NTC
25,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,25,원4(E) <소재>,X,0.006,0.000,0.200,-0.200,0.006,|+,NTC
26,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,25,원4(E) <소재>,Y,0.084,0.000,0.200,-0.200,0.084,|++,NTC
27,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,25,원4(E) <소재>,D,25.693,26.100,0.000,-0.500,-0.407,---|,NTC
28,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,25,원4(E) <소재>,동심도,0.168,0.000,-,-,-,-,NTC
29,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,25,원4(E) <소재>,SMmf,5P,0.007,0.012,-0.008,0.019,-,NTC
30,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,29,점6 <- 직선9와 직선10의 교차점 <소재>,X,44.131,44.100,0.300,-0.300,0.031,|+,NTC
31,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,29,점6 <- 직선9와 직선10의 교차점 <소재>,Y,6.620,6.500,0.300,-0.300,0.120,|++,NTC
32,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,30,점7 <- 직선10와 직선11의 교차점 <소재>,X,54.092,54.000,0.300,-0.300,0.092,|++,NTC
33,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,30,점7 <- 직선10와 직선11의 교차점 <소재>,Y,5.231,5.100,0.300,-0.300,0.131,|++,NTC
34,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,33,점8 <- 직선13와 직선12의 교차점 <소재>,X,74.418,74.400,0.300,-0.300,0.018,|+,NTC
35,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,34,직선14 <23.1° 소재>,Y/X,-23.177,-23.100,0.333,-0.333,0.077,|+,NTC
36,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,37,직선16 <우상 소재>,X/Y,14.081,14.500,0.500,-0.500,-0.419,----|,NTC
37,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,39,직선18 <좌상 소재>,X/Y,-14.440,-14.500,0.500,-0.500,-0.060,-|,NTC
38,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,42,거리1 <- XAXIS[PT]:점9와 점10 <상>,DS,10.317,10.300,0.070,-0.070,0.017,|+,NTC
39,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,45,점13 <- 점11와 점12의 중점 <열전관리_상>,X,72.910,72.870,0.100,0.000,0.040,-|,NTC
40,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,46,직선19 <좌하 소재>,X/Y,-14.309,-14.500,0.500,-0.500,-0.191,--|,NTC
41,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,48,직선21 <우하 소재>,X/Y,13.755,14.500,0.500,-0.500,-0.745,-0.245,NTC
42,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,51,거리2 <- XAXIS[PT]:점14와 점15 <하>,DS,10.300,10.300,0.070,-0.070,0.000,-|,NTC
43,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,54,점18 <- 점16와 점17의 중점 <열전관리_하>,X,72.928,72.870,0.100,0.000,0.058,|+,NTC
44,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,55,점19 <상>,Y,-2.290,-2.300,0.100,-0.100,-0.010,-|,NTC
45,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,56,점20 <하>,Y,-2.268,-2.300,0.100,-0.100,-0.032,--|,NTC
46,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,58,원5(I) <상부>,Y,2.017,2.000,0.100,-0.100,0.017,|+,NTC
47,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,58,원5(I) <상부>,D,3.547,3.500,0.100,-0.100,0.047,|++,NTC
48,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,58,원5(I) <상부>,SMmf,4P,0.001,0.001,-0.001,0.002,-,NTC
49,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,59,원6(I) <하부>,Y,2.045,2.000,0.100,-0.100,0.045,|++,NTC
50,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,59,원6(I) <하부>,D,3.537,3.500,0.100,-0.100,0.037,|++,NTC
51,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,60,거리3 <- XYPLAN[PT]:원5와 원통1,DS,46.499,46.500,0.300,-0.300,-0.001,-|,NTC
52,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,61,평면2,Z,12.344,12.000,0.500,0.000,0.344,|++,NTC
53,PARKING SPRAG(8속)_<열전>,45926-4G100,2024.02.02. 18:51:11,양정훈,일상검사,주간,종물,61,평면2,평면도,0.015,0.050,-,-,-,|++,NTC
