,품명,품번,측정시간,측정자,검사형태,검사시간대,종물검사,번호,도형,항목,측정값,기준값,상한공차,하한공차,편차,판정,품질상태
0,PARKING SPRAG(8속)_<열전>3차가공,45926-4G600,2024.03.20. 15:55:11,양정훈,일상검사,주간,중물,3,평면1 <3차안착면기준 직각도>,평면도,0.003,0.100,-,-,-,|+,OK
1,PARKING SPRAG(8속)_<열전>3차가공,45926-4G600,2024.03.20. 15:55:11,양정훈,일상검사,주간,중물,3,평면1 <3차안착면기준 직각도>,SMmf,4P,0.001,0.001,-0.001,0.003,-,OK
2,PARKING SPRAG(8속)_<열전>3차가공,45926-4G600,2024.03.20. 15:55:11,양정훈,일상검사,주간,중물,5,원1(I) <상>,D,16.490,16.490,0.030,-0.010,0.000,--|,OK
3,PARKING SPRAG(8속)_<열전>3차가공,45926-4G600,2024.03.20. 15:55:11,양정훈,일상검사,주간,중물,5,원1(I) <상>,진원도,0.003,0.015,-,-,-,-,OK
4,PARKING SPRAG(8속)_<열전>3차가공,45926-4G600,2024.03.20. 15:55:11,양정훈,일상검사,주간,중물,5,원1(I) <상>,SMmf,4P,0.001,0.002,-0.001,0.003,-,OK
5,PARKING SPRAG(8속)_<열전>3차가공,45926-4G600,2024.03.20. 15:55:11,양정훈,일상검사,주간,중물,6,원2(I) <중_상부홀기준동심도>,D,16.491,16.490,0.030,-0.010,0.001,--|,OK
6,PARKING SPRAG(8속)_<열전>3차가공,45926-4G600,2024.03.20. 15:55:11,양정훈,일상검사,주간,중물,6,원2(I) <중_상부홀기준동심도>,진원도,0.001,0.015,-,-,-,-,OK
7,PARKING SPRAG(8속)_<열전>3차가공,45926-4G600,2024.03.20. 15:55:11,양정훈,일상검사,주간,중물,6,원2(I) <중_상부홀기준동심도>,동심도,0.026,0.015,-,-,-,-,OK
8,PARKING SPRAG(8속)_<열전>3차가공,45926-4G600,2024.03.20. 15:55:11,양정훈,일상검사,주간,중물,6,원2(I) <중_상부홀기준동심도>,SMmf,4P,0.000,0.000,0.000,0.001,-,OK
9,PARKING SPRAG(8속)_<열전>3차가공,45926-4G600,2024.03.20. 15:55:11,양정훈,일상검사,주간,중물,7,원3(I) <하_상부홀기준동심도>,D,16.490,16.490,0.030,-0.010,0.000,--|,OK
10,PARKING SPRAG(8속)_<열전>3차가공,45926-4G600,2024.03.20. 15:55:11,양정훈,일상검사,주간,중물,7,원3(I) <하_상부홀기준동심도>,진원도,0.001,0.015,-,-,-,-,OK
11,PARKING SPRAG(8속)_<열전>3차가공,45926-4G600,2024.03.20. 15:55:11,양정훈,일상검사,주간,중물,7,원3(I) <하_상부홀기준동심도>,동심도,0.048,0.015,-,-,-,-,OK
12,PARKING SPRAG(8속)_<열전>3차가공,45926-4G600,2024.03.20. 15:55:11,양정훈,일상검사,주간,중물,7,원3(I) <하_상부홀기준동심도>,SMmf,4P,0.001,0.001,-0.001,0.001,-,OK
