,품명,품번,측정시간,측정자,검사형태,검사시간대,종물검사,번호,도형,항목,측정값,기준값,상한공차,하한공차,편차,판정,품질상태
0,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,3,평면1,평면도,0.002,0.100,-,-,-,|+,NTC
1,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,3,평면1,SMmf,4P,0.001,0.001,-0.001,0.002,-,NTC
2,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,5,원1(I) <상>,D,16.488,16.500,0.020,-0.020,-0.012,---|,NTC
3,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,5,원1(I) <상>,SMmf,4P,0.002,0.003,-0.003,0.006,-,NTC
4,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,6,원2(I) <중>,D,16.487,16.500,0.020,-0.020,-0.013,---|,NTC
5,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,6,원2(I) <중>,SMmf,4P,0.000,0.000,0.000,0.001,-,NTC
6,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,7,원3(I) <하>,D,16.484,16.500,0.020,-0.020,-0.016,----|,NTC
7,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,7,원3(I) <하>,SMmf,4P,0.005,0.006,-0.006,0.012,-,NTC
8,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",D,16.486,16.500,0.020,-0.020,-0.014,---|,NTC
9,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",직각도,0.011,0.050,-,-,-,|+,NTC
10,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",SMmf,12P,0.004,0.007,-0.006,0.013,-,NTC
11,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,16,점2 <- 점1의 되부름 <열전관리치>,X,127.398,127.400,0.100,0.000,-0.002,-0.002,NTC
12,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,16,점2 <- 점1의 되부름 <열전관리치>,Y,14.000,14.000,0.100,-0.100,0.000,-|,NTC
13,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,17,각도1 <- 각도[XYPLAN]:직선4와 직선3 <각도 확인 ___참고각도>,Ang,56.090,56.000,0.200,-0.200,0.090,|++,NTC
14,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,19,점3 <- 직선5와 직선2의 교차점,X,131.622,131.600,0.300,-0.300,0.022,|+,NTC
15,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,19,점3 <- 직선5와 직선2의 교차점,Y,7.717,7.800,0.300,-0.300,-0.083,--|,NTC
16,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,21,직선9 <9'>,Y/X,8.723,9.000,0.500,-0.500,-0.277,---|,NTC
17,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,22,원4(E) <소재경>,X,-0.061,0.000,0.200,-0.200,-0.061,--|,NTC
18,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,22,원4(E) <소재경>,Y,0.249,0.000,0.200,-0.200,0.249,0.049,NTC
19,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,22,원4(E) <소재경>,D,25.951,26.100,0.000,-0.500,-0.149,|++,NTC
20,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,22,원4(E) <소재경>,동심도,0.513,0.000,-,-,-,-,NTC
21,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,22,원4(E) <소재경>,SMmf,5P,0.004,0.007,-0.004,0.011,-,NTC
22,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,26,점7 <- 직선10와 직선11의 교차점,X,41.915,42.000,0.100,-0.100,-0.085,----|,NTC
23,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,26,점7 <- 직선10와 직선11의 교차점,Y,15.831,15.700,0.100,-0.100,0.131,0.031,NTC
24,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,27,점8 <- 직선11와 직선12의 교차점,X,50.970,51.000,0.100,-0.100,-0.030,--|,NTC
25,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,27,점8 <- 직선11와 직선12의 교차점,Y,15.124,15.000,0.100,-0.100,0.124,0.024,NTC
26,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,30,점9 <- 직선14와 직선13의 교차점,X,92.913,93.000,0.300,-0.300,-0.087,--|,NTC
27,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,31,직선15 <각도 확인 !!!>,Y/X,-8.351,-8.300,0.333,-0.333,0.051,|+,NTC
28,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,33,직선16 <우상>,X/Y,14.469,14.500,0.500,-0.500,-0.031,-|,NTC
29,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,35,직선18 <좌상>,X/Y,-15.046,-15.500,0.500,-0.500,-0.454,----|,NTC
30,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,37,직선20 <좌하>,X/Y,-15.362,-15.500,0.500,-0.500,-0.138,--|,NTC
31,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,39,직선22 <우하>,X/Y,14.518,14.500,0.500,-0.500,0.018,|+,NTC
32,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,40,점10 <상>,Y,-2.076,-2.200,0.100,-0.100,-0.124,-0.024,NTC
33,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,41,점11 <중>,Y,-2.113,-2.200,0.100,-0.100,-0.087,----|,NTC
34,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,42,점12 <하>,Y,-2.128,-2.200,0.100,-0.100,-0.072,---|,NTC
35,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,45,거리1 <- XAXIS[PT]:점13와 점14 <상>,DS,10.928,11.000,0.070,-0.070,-0.072,-0.002,NTC
36,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,48,거리2 <- XAXIS[PT]:점16와 점15 <하>,DS,10.951,11.000,0.070,-0.070,-0.049,---|,NTC
37,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,51,점19 <- 점18와 점17의 중점 <상>,X,69.929,70.000,0.100,0.000,-0.071,-0.071,NTC
38,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,54,점22 <- 점20와 점21의 중점 <하>,X,69.930,70.000,0.100,0.000,-0.070,-0.070,NTC
39,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,56,원5(I),Y,9.970,10.000,0.100,-0.100,-0.030,--|,NTC
40,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,56,원5(I),D,3.584,3.500,0.100,-0.100,0.084,|++++,NTC
41,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,56,원5(I),SMmf,4P,0.001,0.002,-0.001,0.003,-,NTC
42,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,57,거리3 <- XYPLAN[PT]:원통1와 원5,DS,46.482,46.500,0.200,-0.200,-0.018,-|,NTC
43,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,58,점23,Z,11.762,11.800,-0.050,-0.090,-0.038,0.012,NTC
44,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,64,"평면2 <- 점23, 점24, 점25, ... , 점28의 측정점 병합",평행도,0.058,0.100,-,-,-,|+++,NTC
45,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,64,"평면2 <- 점23, 점24, 점25, ... , 점28의 측정점 병합",SMmf,6P,0.002,0.003,-0.002,0.004,-,NTC
46,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,65,평면3,Z,11.405,11.300,0.300,0.000,0.105,--|,NTC
47,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,65,평면3,평면도,0.015,0.100,-,-,-,|+,NTC
48,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,65,평면3,SMmf,8P,0.006,0.007,-0.009,0.015,-,NTC
49,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,70,점29 <- 직선24와 직선23의 교차점 <소재 외경 대비 거리>,X,127.481,127.400,0.100,0.000,0.081,|+++,NTC
50,PARKING SPRAG(8속)_<열전>,45926-P4G700,2024.01.29. 11:46:25,양정훈,일상검사,주간,초물,72,점30 <- 직선25와 직선4의 교차점 <소재 외경대비 거리>,X,131.685,131.600,0.300,-0.300,0.085,|++,NTC
