,품명,품번,측정시간,측정자,검사형태,검사시간대,종물검사,번호,도형,항목,측정값,기준값,상한공차,하한공차,편차,판정,품질상태
0,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,10,원2(I) <상>,D,10.015,10.000,0.045,0.010,0.015,---|,(공구교환)
1,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,10,원2(I) <상>,SMmf,5P,0.002,0.002,-0.002,0.004,-,(공구교환)
2,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,11,원3(I) <중>,D,10.018,10.000,0.045,0.010,0.018,---|,(공구교환)
3,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,11,원3(I) <중>,SMmf,5P,0.001,0.002,-0.002,0.004,-,(공구교환)
4,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,12,원4(I) <하>,D,10.014,10.000,0.045,0.010,0.014,----|,(공구교환)
5,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,12,원4(I) <하>,SMmf,5P,0.002,0.003,-0.003,0.006,-,(공구교환)
6,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,13,"원통1(I) <- 원2, 원3, 원4의 측정점 병합",D,10.016,10.000,0.045,0.010,0.016,---|,(공구교환)
7,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,13,"원통1(I) <- 원2, 원3, 원4의 측정점 병합",직각도,0.002,0.030,-,-,-,|+,(공구교환)
8,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,13,"원통1(I) <- 원2, 원3, 원4의 측정점 병합",SMmf,15P,0.002,0.003,-0.004,0.007,-,(공구교환)
9,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,17,거리1 <- YAXIS[평균]:원5와 직선2 <열전관리치>,DS,74.405,72.000,0.300,0.200,2.405,2.105,(공구교환)
10,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,18,평면2 <열전관리치>,Y/X,-44:51:49,-13:30:00,0:30:00,-0:30:00,31:21:49,30:51:49,(공구교환)
11,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,18,평면2 <열전관리치>,평행도,0.051,0.050,-,-,-,0.001,(공구교환)
12,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,18,평면2 <열전관리치>,SMmf,4P,0.119,0.125,-0.125,0.249,-,(공구교환)
13,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,20,평면3 <열전관리치>,Y,-0.061,-2.500,0.000,-4.000,-2.439,-|,(공구교환)
14,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,20,평면3 <열전관리치>,SMmf,4P,0.001,0.001,-0.001,0.001,-,(공구교환)
15,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,22,평면4,Y/X,82:22:13,14:00:00,0:30:00,-0:30:00,-68:22:13,-67:52:13,(공구교환)
16,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,22,평면4,평행도,0.063,0.050,-,-,-,0.013,(공구교환)
17,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,22,평면4,SMmf,4P,0.039,0.039,-0.040,0.079,-,(공구교환)
18,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,24,평면5,Y/X,12:21:47,13:00:00,0:30:00,-0:30:00,0:38:13,0:08:13,(공구교환)
19,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,24,평면5,SMmf,4P,0.000,0.000,0.000,0.001,-,(공구교환)
20,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,26,거리2 <- YAXIS[평균]:직선6와 직선4 <참고치수>,DS,0.225,3.400,0.000,0.000,-3.175,-3.175,(공구교환)
21,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,27,원6(I),R,4.717,4.000,1.000,0.000,0.717,|++,(공구교환)
22,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,30,거리3 <- XAXIS[평균]:점2와 점1 <열전치수>,DS,5.649,9.000,0.000,-0.150,-3.351,-3.201,(공구교환)
23,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,33,점5 <- 점4와 점3의 중점 <열전관리치>,X,-81.370,-82.100,0.100,-0.100,-0.730,-0.630,(공구교환)
24,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,34,평면6,X/Y,-6:18:19,-7:48:00,0:30:00,-0:30:00,-1:29:41,-0:59:41,(공구교환)
25,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,34,평면6,SMmf,4P,0.001,0.001,-0.001,0.002,-,(공구교환)
26,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,35,평면7,Z/Y,-45:08:37,-45:00:00,0:30:00,-0:30:00,0:08:37,|++,(공구교환)
27,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,35,평면7,SMmf,4P,0.001,0.001,-0.001,0.001,-,(공구교환)
28,PARKING SRPAG (감마IVT),48614-2H001,2024.01.26. 15:00:11,송성진,일상검사,주간,중물,37,평면8,X,96.217,96.000,0.800,-0.800,-0.217,--|,(공구교환)
