,품명,품번,측정시간,측정자,검사형태,검사시간대,종물검사,번호,도형,항목,측정값,기준값,상한공차,하한공차,편차,판정,품질상태
0,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,10,원2(I) <상>,D,10.015,10.000,0.045,0.010,0.015,---|,NTC
1,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,10,원2(I) <상>,SMmf,5P,0.007,0.008,-0.009,0.017,-,NTC
2,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,11,원3(I) <중>,D,10.018,10.000,0.045,0.010,0.018,---|,NTC
3,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,11,원3(I) <중>,SMmf,5P,0.005,0.006,-0.006,0.012,-,NTC
4,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,12,원4(I) <하>,D,10.020,10.000,0.045,0.010,0.020,--|,NTC
5,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,12,원4(I) <하>,SMmf,5P,0.003,0.004,-0.005,0.009,-,NTC
6,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,13,"원통1(I) <- 원2, 원3, 원4의 측정점 병합",D,10.018,10.000,0.045,0.010,0.018,---|,NTC
7,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,13,"원통1(I) <- 원2, 원3, 원4의 측정점 병합",직각도,0.006,0.030,-,-,-,|+,NTC
8,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,13,"원통1(I) <- 원2, 원3, 원4의 측정점 병합",SMmf,15P,0.005,0.007,-0.011,0.017,-,NTC
9,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,17,거리1 <- YAXIS[평균]:원5와 직선2 <열전관리치>,DS,72.270,72.000,0.300,0.200,0.270,|++,NTC
10,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,18,평면2 <열전관리치>,Y/X,-13:35:38,-13:30:00,0:30:00,-0:30:00,0:05:38,|+,NTC
11,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,18,평면2 <열전관리치>,평행도,0.002,0.050,-,-,-,|+,NTC
12,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,18,평면2 <열전관리치>,SMmf,4P,0.001,0.001,-0.001,0.002,-,NTC
13,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,20,평면3 <열전관리치>,Y,-2.237,-2.500,0.000,-4.000,-0.263,|++++,NTC
14,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,20,평면3 <열전관리치>,SMmf,4P,0.002,0.002,-0.002,0.003,-,NTC
15,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,22,평면4,Y/X,14:01:42,14:00:00,0:30:00,-0:30:00,-0:01:42,-|,NTC
16,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,22,평면4,평행도,0.003,0.050,-,-,-,|+,NTC
17,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,22,평면4,SMmf,4P,0.000,0.000,0.000,0.001,-,NTC
18,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,24,평면5,Y/X,12:57:13,13:00:00,0:30:00,-0:30:00,0:02:47,|+,NTC
19,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,24,평면5,SMmf,4P,0.000,0.000,0.000,0.000,-,NTC
20,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,26,거리2 <- YAXIS[평균]:직선6와 직선4 <참고치수>,DS,2.697,3.400,0.000,0.000,-0.703,-0.703,NTC
21,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,27,원6(I),R,4.129,4.000,1.000,0.000,0.129,---|,NTC
22,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,30,거리3 <- XAXIS[평균]:점2와 점1 <열전치수>,DS,8.858,9.000,0.000,-0.150,-0.142,----|,NTC
23,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,33,점5 <- 점4와 점3의 중점 <열전관리치>,X,-82.112,-82.100,0.100,-0.100,0.012,|+,NTC
24,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,34,평면6,X/Y,-7:51:48,-7:48:00,0:30:00,-0:30:00,0:03:48,|+,NTC
25,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,34,평면6,SMmf,4P,0.000,0.000,0.000,0.001,-,NTC
26,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,35,평면7,Z/Y,-45:12:43,-45:00:00,0:30:00,-0:30:00,0:12:43,|++,NTC
27,PARKING SRPAG (감마IVT),48614-2H001,2024.02.08. 11:46:25,송성진,일상검사,주간,초물,35,평면7,SMmf,4P,0.000,0.000,0.000,0.001,-,NTC
