품명,품번,측정시간,측정자,검사형태,검사시간대,종믈검사,번호,도형,항목,측정값,기준값,상한공차,하한공차,편차,판정,품질상태
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,3,평면1,평면도,0.002,0.100,-,-,-,|+,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,3,평면1,SMmf,4P,0.001,0.001,-0.001,0.002,-,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,5,원1(I) <상>,D,16.495,16.485,0.030,0.000,0.010,--|,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,5,원1(I) <상>,SMmf,4P,0.001,0.001,-0.001,0.003,-,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,6,원2(I) <중>,D,16.499,16.485,0.030,0.000,0.014,-|,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,6,원2(I) <중>,SMmf,4P,0.002,0.002,-0.003,0.005,-,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,7,원3(I) <하>,D,16.496,16.485,0.030,0.000,0.011,-|,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,7,원3(I) <하>,SMmf,4P,0.000,0.000,0.000,0.000,-,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",D,16.497,16.485,0.030,0.000,0.012,-|,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",원통도,0.006,0.000,-,-,-,-,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",직각도,0.006,0.050,-,-,-,|+,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,8,"원통1(I) <- 원1, 원2, 원3의 측정점 병합",SMmf,12P,0.002,0.003,-0.003,0.006,-,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,14,점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>,X,116.678,116.600,0.100,0.000,0.078,|+++,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,14,점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>,Y,-10.907,10.900,0.100,-0.100,0.007,|+,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,16,각도1 <- 각도[XYPLAN]:직선2와 직선3,Ang,57.239,57.000,0.333,-0.333,0.239,|+++,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,17,직선4 <27° 소재>,Y/X,27.258,27.000,0.500,-0.500,0.258,|+++,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,18,직선5 <7.5° 소재>,Y/X,7.451,7.500,0.500,-0.500,-0.049,-|,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,19,점3 <- 직선4와 직선5의 교차점 <소재>,X,110.060,110.200,0.300,-0.300,-0.140,--|,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,20,직선6 <35.9° 소재>,Y/X,35.723,35.900,0.500,-0.500,-0.177,--|,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,21,점4 <- 직선6와 직선5의 교차점 <소재>,X,88.004,88.000,0.300,-0.300,0.004,|+,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,21,점4 <- 직선6와 직선5의 교차점 <소재>,Y,-24.272,-24.000,0.300,-0.300,0.272,|++++,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,22,직선7 <23.1°>,Y/X,-23.278,-23.100,0.500,-0.500,0.178,|++,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,23,직선8 <6°>,Y/X,-6.218,-6.000,0.500,-0.500,0.218,|++,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,24,점5 <- 직선8와 직선7의 교차점,X,47.980,48.000,0.300,-0.300,-0.020,-|,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,24,점5 <- 직선8와 직선7의 교차점,Y,-16.280,-16.100,0.300,-0.300,0.180,|+++,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,25,원4(E) <소재>,X,0.046,0.000,0.200,-0.200,0.046,|+,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,25,원4(E) <소재>,Y,0.133,0.000,0.200,-0.200,0.133,|+++,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,25,원4(E) <소재>,D,25.726,26.100,0.000,-0.500,-0.374,--|,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,25,원4(E) <소재>,동심도,0.281,0.000,-,-,-,-,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,25,원4(E) <소재>,SMmf,5P,0.003,0.004,-0.005,0.009,-,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,29,점6 <- 직선9와 직선10의 교차점 <소재>,X,44.204,44.100,0.300,-0.300,0.104,|++,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,29,점6 <- 직선9와 직선10의 교차점 <소재>,Y,6.657,6.500,0.300,-0.300,0.157,|+++,OK
PARKING SPRAG(8속)_<열전>,45926-4G100,2023.10.05. 22:36:16,양정훈,일상검사,야간,초물,30,점7 <- 직선10와 직선11의 교차점 <소재>,X,54.129,54.000,0.300,-0.300,0.129,|++,OK
