파일명,평면1_평면도_편차,원1(I) <상>_D_편차,원2(I) <중>_D_편차,원3(I) <하>_D_편차,"원통1(I) <- 원1, 원2, 원3의 측정점 병합_D_편차","원통1(I) <- 원1, 원2, 원3의 측정점 병합_원통도_편차","원통1(I) <- 원1, 원2, 원3의 측정점 병합_직각도_편차",점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_X_편차,점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_Y_편차,각도1 <- 각도[XYPLAN]:직선2와 직선3_Ang_편차,직선4 <27° 소재>_Y/X_편차,직선5 <7.5° 소재>_Y/X_편차,점3 <- 직선4와 직선5의 교차점 <소재>_X_편차,직선6 <35.9° 소재>_Y/X_편차,점4 <- 직선6와 직선5의 교차점 <소재>_X_편차,점4 <- 직선6와 직선5의 교차점 <소재>_Y_편차,직선7 <23.1°>_Y/X_편차,직선8 <6°>_Y/X_편차,점5 <- 직선8와 직선7의 교차점_X_편차,점5 <- 직선8와 직선7의 교차점_Y_편차,원4(E) <소재>_X_편차,원4(E) <소재>_Y_편차,원4(E) <소재>_D_편차,원4(E) <소재>_동심도_편차,점6 <- 직선9와 직선10의 교차점 <소재>_X_편차,점6 <- 직선9와 직선10의 교차점 <소재>_Y_편차,점7 <- 직선10와 직선11의 교차점 <소재>_X_편차,점7 <- 직선10와 직선11의 교차점 <소재>_Y_편차,점8 <- 직선13와 직선12의 교차점 <소재>_X_편차,직선14 <23.1° 소재>_Y/X_편차,직선16 <우상 소재>_X/Y_편차,직선18 <좌상 소재>_X/Y_편차,거리1 <- XAXIS[PT]:점9와 점10 <상>_DS_편차,점13 <- 점11와 점12의 중점 <열전관리_상>_X_편차,직선19 <좌하 소재>_X/Y_편차,직선21 <우하 소재>_X/Y_편차,거리2 <- XAXIS[PT]:점14와 점15 <하>_DS_편차,점18 <- 점16와 점17의 중점 <열전관리_하>_X_편차,점19 <상>_Y_편차,점20 <하>_Y_편차,원5(I) <상부>_Y_편차,원5(I) <상부>_D_편차,원6(I) <하부>_Y_편차,원6(I) <하부>_D_편차,거리3 <- XYPLAN[PT]:원5와 원통1_DS_편차,평면2_Z_편차,평면2_평면도_편차,평면2_평행도_편차,"평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_Z_편차","평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평면도_편차","평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평행도_편차",원7(E) <- 원4의 되부름_X_편차,원7(E) <- 원4의 되부름_Y_편차,원7(E) <- 원4의 되부름_D_편차,원7(E) <- 원4의 되부름_동심도_편차,점28 <- 점27의 되부름 <소재 원점>_X_편차,점28 <- 점27의 되부름 <소재 원점>_Y_편차,각도2 <- 각도[XYPLAN]:직선23와 직선24_Ang_편차,점29 <- 점13의 되부름 <소재원점>_X_편차,점29 <- 점13의 되부름 <소재원점>_Y_편차,점30 <- 점18의 되부름 <소재원점>_X_편차,점30 <- 점18의 되부름 <소재원점>_Y_편차,직선25 <- 직선18의 되부름_X/Y_편차,직선26 <- 직선16의 되부름_X/Y_편차,거리4 <- XAXIS[평균]:점32와 점31 <소재기준>_DS_편차,품질상태
240112_일상검사_주_초_2-6-1_NG,0,-0.003,0.004,-0.002,0,0,0,0.059,0.006,0.361,0.241,-0.03,-0.148,-0.263,-0.022,0.289,0.275,0.22,-0.035,0.166,0.037,0.147,-0.381,0,0.122,0.173,0.155,0.125,-0.056,0.086,0.283,-0.182,0.044,0.004,-0.14,-0.077,0.038,0.028,0.051,0.041,-0.053,0.013,-0.041,-0.009,0.058,0.309,0,0,0.523,0,0,0.037,0.147,-0.381,0,0.033,0.003,-0.138,0.03,0.106,0.054,0.107,-0.109,0.21,0.044,0
240113_일상검사_야_초_1-6-1_NG,0,0.007,0.01,0.006,0.008,0,0,0.116,0.011,0.083,0.227,0.071,-0.107,-0.105,0.005,0.296,0.125,0.172,0.021,0.209,0.066,0.056,-0.418,0,0.111,0.067,0.16,0.049,0.066,0.103,-0.004,-0.203,0.028,0.094,-0.362,-0.447,-0.003,0.094,0.051,-0.013,-0.05,0.058,0.013,0.06,-0.006,0.368,0,0,0.614,0,0,0.066,0.056,-0.418,0,0.095,0.009,0.454,0.057,0.093,0.057,0.051,-0.174,-0.034,0.028,0
240113_일상검사_야_초_2-1-1_NG,0,0.014,0.018,0.014,0.015,0,0,0.129,0.012,0.338,0.253,-0.07,-0.149,-0.203,0.017,0.255,0.046,0.184,-0.109,0.141,0.034,0.13,-0.395,0,0.086,0.127,0.131,0.132,0.018,0.061,-0.127,-0.541,0.038,0.031,-0.312,-0.561,0,0.037,0.029,-0.056,-0.026,0.032,0.014,0.036,0.052,0.379,0,0,0.629,0,0,0.034,0.13,-0.395,0,0.082,0.008,0.014,0.053,0.092,0.059,0.033,-0.476,-0.192,0.038,0
240113_일상검사_야_초_2-2-1_NG,0,0.012,0.02,0.015,0.015,0,0,0.128,0.012,0.25,0.188,-0.013,-0.115,-0.193,0.007,0.275,0.153,0.18,-0.029,0.156,0.037,0.115,-0.401,0,0.078,0.109,0.131,0.123,0.045,0.076,-0.259,-0.153,0.031,0.059,-0.299,-0.686,0.006,0.054,0.021,-0.022,-0.051,0.033,-0.007,0.033,0.009,0.384,0,0,0.669,0,0,0.037,0.115,-0.401,0,0.1,0.009,-0.029,0.073,0.078,0.067,0.049,-0.096,-0.315,0.031,0
240113_일상검사_야_초_2-4-1_NG,0,0.015,0.02,0.016,0.017,0,0,0.159,0.015,0.292,0.189,-0.019,-0.086,-0.204,0.039,0.278,0.159,0.188,-0.004,0.152,0.061,0.115,-0.419,0,0.107,0.105,0.159,0.104,0.079,0.078,-0.439,-0.233,0.028,0.089,-0.331,-0.721,0.003,0.089,0.011,-0.024,-0.004,0.033,0.019,0.035,0.061,0.409,0,0,0.652,0,0,0.061,0.115,-0.419,0,0.101,0.009,-0.059,0.081,0.073,0.081,0.051,-0.176,-0.497,0.028,0
240113_일상검사_야_초_2-5-1_NG,0,0.013,0.023,0.017,0.017,0,0,0.134,0.013,0.19,0.236,-0.012,-0.087,-0.174,0.033,0.295,0.148,0.177,-0.011,0.187,0.057,0.08,-0.4,0,0.101,0.09,0.154,0.093,0.092,0.181,-0.23,-0.091,0.033,0.089,-0.232,-0.711,0.024,0.095,0.024,0.018,-0.013,0.027,-0.002,0.029,0.019,0.407,0,0,0.655,0,0,0.057,0.08,-0.4,0,0.098,0.009,-0.058,0.07,0.074,0.075,0.08,-0.051,-0.27,0.033,0
240113_일상검사_야_초_2-6-1_NG,0,0.016,0.021,0.015,0.017,0,0,0.152,0.014,0.213,0.22,0.021,-0.078,-0.214,0.034,0.279,0.152,0.173,0.014,0.171,0.05,0.079,-0.424,0,0.116,0.078,0.15,0.088,0.078,0.061,-0.265,-0.001,0.029,0.092,-0.213,-0.674,0.004,0.086,0.02,-0.032,-0.061,0.034,-0.026,0.03,0.122,0.366,0,0,0.629,0,0,0.05,0.079,-0.424,0,0.1,0.009,-0.053,0.079,0.066,0.073,0.032,0.039,-0.306,0.029,0
240113_일상검사_주_초_1-1-1_NG,0,0.008,0.008,0.004,0.007,0,0,0.141,0.013,0.305,0.231,-0.014,-0.104,-0.21,0.032,0.297,0.128,0.184,-0.024,0.183,0.057,0.092,-0.398,0,0.111,0.097,0.15,0.101,0.075,0.133,-0.308,0.067,0.041,0.085,-0.422,-0.555,0.017,0.076,0.033,0.017,0.039,0.066,0.054,0.062,0.004,0.338,0,0,0.562,0,0,0.057,0.092,-0.398,0,0.101,0.009,0.067,0.071,0.084,0.062,0.068,0.117,-0.358,0.041,0
240113_일상검사_주_초_1-4-1_NG,0,0.001,0.014,0.009,0.008,0,0,0.118,0.011,0.219,0.204,-0.037,-0.142,-0.224,-0.008,0.268,0.176,0.196,-0.04,0.148,0.009,0.133,-0.416,0,0.067,0.116,0.111,0.131,0.013,0.078,-0.274,-0.054,0.039,0.032,-0.196,-0.671,0.013,0.036,0.026,-0.017,0.075,0.051,0.108,0.054,0.004,0.324,0,0,0.562,0,0,0.009,0.133,-0.416,0,0.108,0.01,0.035,0.079,0.078,0.083,0.05,0.01,-0.339,0.039,0
240113_일상검사_주_초_2-2-1_NG,0,0.011,0.017,0.015,0.015,0,0,0.119,0.011,0.207,0.254,0.006,-0.1,-0.167,0.022,0.279,0.089,0.188,-0.022,0.188,0.071,0.084,-0.399,0,0.052,0.108,0.184,0.064,0.069,0.159,0.083,-0.529,0.021,0.07,-0.378,-0.41,0.001,0.085,0.038,0.003,0,-0.016,0.037,-0.001,0.049,0.289,0,0,0.548,0,0,0.071,0.084,-0.399,0,0.019,0.002,-0.752,0.04,0.077,0.055,0.063,-0.481,0.036,0.021,0
